Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR17234900,2022-01-10 03:21:48,2021-12-15 03:03:57,148208,750289977,0,5062,522,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR017/17234/SRR17234900/SRR17234900.1,SRX13413999,PacBio_01_R1134,WGS,RANDOM,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP350834,PRJNA719670,,719670,SRS11315937,SAMN24040618,simple,1773,Mycobacterium tuberculosis,01_R1134,,,,,,,no,,,,,HARVARD MEDICAL SCHOOL,SRA1343769,,public,DD467BD1ED2ADFEE51C30E24A754EE04,F895A92F3C84E8BB4F0ACDB47A838B0E
SRR17234890,2022-01-10 03:21:48,2021-12-15 03:06:18,197283,1245381638,0,6312,872,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-34/SRR017/17234/SRR17234890/SRR17234890.1,SRX13414004,PacBio_01_R1430,WGS,RANDOM,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP350834,PRJNA719670,,719670,SRS11315928,SAMN24039564,simple,1773,Mycobacterium tuberculosis,01_R1430,,,,,,,no,,,,,HARVARD MEDICAL SCHOOL,SRA1343769,,public,0CE1FC85275CDEA35178991C15AA0D7D,FB0292D88021AF3717760E42D3CFB633
SRR17234891,2022-01-10 03:21:48,2021-12-15 03:05:14,223108,1169649783,0,5242,824,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR017/17234/SRR17234891/SRR17234891.lite.1,SRX13414003,PacBio_02_R0894,WGS,RANDOM,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP350834,PRJNA719670,,719670,SRS11315940,SAMN24039598,simple,1773,Mycobacterium tuberculosis,02_R0894,,,,,,,no,,,,,HARVARD MEDICAL SCHOOL,SRA1343769,,public,D021FB0CCE6B0208EFF25FCBE121C3BD,96F46620955E7B7BCF321EBB1E52D972
SRR17234897,2022-01-10 03:21:48,2021-12-15 03:06:45,220637,1338811289,0,6067,933,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-34/SRR017/17234/SRR17234897/SRR17234897.1,SRX13413997,PacBio_02_R1179,WGS,RANDOM,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP350834,PRJNA719670,,719670,SRS11315930,SAMN24042990,simple,1773,Mycobacterium tuberculosis,02_R1179,,,,,,,no,,,,,HARVARD MEDICAL SCHOOL,SRA1343769,,public,D82FE5C0777E0DC2C8F85265116432B0,9197FE6F73C1D1AF93170BA7AD84C68C
SRR17234893,2022-01-10 03:21:48,2021-12-15 03:07:08,215995,1354739206,0,6272,957,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-zq-18/SRR017/17234/SRR17234893/SRR17234893.lite.1,SRX13414001,PacBio_02_R1708,WGS,RANDOM,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP350834,PRJNA719670,,719670,SRS11315938,SAMN24039640,simple,1773,Mycobacterium tuberculosis,02_R1708,,,,,,,no,,,,,HARVARD MEDICAL SCHOOL,SRA1343769,,public,601CACE99F92081737EF553FE7E61E73,71824C49A8216FB5EBA7A7C00FF980C3
SRR17234894,2022-01-10 03:21:48,2021-12-15 03:07:16,201202,1217288716,0,6050,857,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR017/17234/SRR17234894/SRR17234894.lite.1,SRX13414000,PacBio_02_R1896,WGS,RANDOM,GENOMIC,SINGLE,0,0,PACBIO_SMRT,PacBio RS II,SRP350834,PRJNA719670,,719670,SRS11315939,SAMN24040382,simple,1773,Mycobacterium tuberculosis,02_R1896,,,,,,,no,,,,,HARVARD MEDICAL SCHOOL,SRA1343769,,public,8003020E47CF9FD2E16C321805C39A71,2770815B18468FF0BCAB57BA2129E35C
SRR17231613,2021-12-14 21:04:24,2021-12-14 18:54:27,464152,2784073792,0,5998,671,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR017/17231/SRR17231613/SRR17231613.lite.1,SRX13410715,DNA097,WGS,RANDOM,GENOMIC,SINGLE,0,0,PACBIO_SMRT,Sequel II,SRP153211,PRJNA480888,,480888,SRS3542789,SAMN09651680,simple,1773,Mycobacterium tuberculosis,1423,,,,,,,no,,,,,NIH / NIAID,SRA1343729,,public,209FC6925B1C3E6A6BEDD1481A3BC57F,DA43B47AF9AB05D21F50D40A8C2210E8
SRR25905994,2023-10-11 08:02:06,2023-09-05 07:16:34,4971197,1491359100,4971197,300,498,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR025/25905/SRR25905994/SRR25905994.lite.1,SRX21626083,15-2024,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP278968,PRJNA659624,,659624,SRS18797503,SAMN37279677,simple,1773,Mycobacterium tuberculosis,15-2024-H,,,,,,,no,,,,,INSTITUT PASTEUR DE MADAGASCAR,SRA1704858,,public,880CD7C73C710CAE1B37635BE58845DC,3789BA5C7246446BC71F57D8A85094FA
SRR25905992,2023-10-11 08:02:06,2023-09-05 07:17:06,6309078,1892723400,6309078,300,626,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR025/25905/SRR25905992/SRR25905992.lite.1,SRX21626085,19-758,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP278968,PRJNA659624,,659624,SRS18797505,SAMN37279679,simple,1773,Mycobacterium tuberculosis,19-758-H,,,,,,,no,,,,,INSTITUT PASTEUR DE MADAGASCAR,SRA1704858,,public,0569D5B079887379370F39CD7E4992C2,187A417A96B4B618C47D37332B1BB3B1
SRR22314236,2022-12-06 22:08:19,2022-11-16 14:41:34,145106,750866971,0,5174,636,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR022/22314/SRR22314236/SRR22314236.1,SRX18287673,MBWGS154_NP,WGS,RANDOM,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP408274,PRJNA902023,3,902023,SRS15779430,SAMN31746260,simple,1765,Mycobacterium tuberculosis variant bovis,2016/0386,,,,,,,no,,,,,CANADIAN FOOD INSPECTION AGENCY,SRA1541905,,public,0F96BEE7A7103C14B41EE44BE7ED82AD,C3B6823FF1668E5226DA6B11FB1C21D2
