ILLUMINA_BioSample,CenterName,ONT_BioSample,BioSample,ILLUMINA_Run,ONT_Run
SAMN36766278,INSTITUT PASTEUR DE MADAGASCAR,SAMN36736233,,,
SAMN36766279,INSTITUT PASTEUR DE MADAGASCAR,SAMN36744121,,,
SAMN36766280,INSTITUT PASTEUR DE MADAGASCAR,SAMN36744122,,,
SAMN36766281,INSTITUT PASTEUR DE MADAGASCAR,SAMN36744123,,,
SAMN27765548,WADSWORTH CENTER,SAMN15703307,,,
SAMN27765549,WADSWORTH CENTER,SAMN15703308,,,
SAMN27765550,WADSWORTH CENTER,SAMN15703309,,,
SAMN27765551,WADSWORTH CENTER,SAMN15703310,,,
SAMN27765544,WADSWORTH CENTER,SAMN15703303,,,
SAMN27765545,WADSWORTH CENTER,SAMN15703304,,,
SAMN27765546,WADSWORTH CENTER,SAMN15703305,,,
SAMN27765560,WADSWORTH CENTER,SAMN15703319,,,
SAMN27765561,WADSWORTH CENTER,SAMN15703320,,,
SAMN27765555,WADSWORTH CENTER,SAMN15703314,,,
SAMN27765556,WADSWORTH CENTER,SAMN15703315,,,
SAMN27765557,WADSWORTH CENTER,SAMN15703316,,,
SAMN27765558,WADSWORTH CENTER,SAMN15703317,,,
SAMN27765559,WADSWORTH CENTER,SAMN15703318,,,
SAMN27765542,WADSWORTH CENTER,SAMN15703301,,,
SAMN27765543,WADSWORTH CENTER,SAMN15703302,,,
SAMN27765552,WADSWORTH CENTER,SAMN15703311,,,
SAMN27765553,WADSWORTH CENTER,SAMN15703312,,,
SAMN27765554,WADSWORTH CENTER,SAMN15703313,,,
SAMN27765851,WADSWORTH CENTER,SAMN15703343,,,
SAMN27765852,WADSWORTH CENTER,SAMN15703344,,,
SAMN27765853,WADSWORTH CENTER,SAMN15703345,,,
SAMN27765854,WADSWORTH CENTER,SAMN15703346,,,
SAMN27765855,WADSWORTH CENTER,SAMN15703347,,,
SAMN27765620,WADSWORTH CENTER,SAMN15703328,,,
SAMN27765621,WADSWORTH CENTER,SAMN15703329,,,
SAMN27765622,WADSWORTH CENTER,SAMN15703330,,,
SAMN27765849,WADSWORTH CENTER,SAMN15703341,,,
SAMN27765850,WADSWORTH CENTER,SAMN15703342,,,
SAMN27765615,WADSWORTH CENTER,SAMN15703323,,,
SAMN27765616,WADSWORTH CENTER,SAMN15703324,,,
SAMN27765617,WADSWORTH CENTER,SAMN15703325,,,
SAMN27765618,WADSWORTH CENTER,SAMN15703326,,,
SAMN27765619,WADSWORTH CENTER,SAMN15703327,,,
SAMN27765628,WADSWORTH CENTER,SAMN15703336,,,
SAMN27765629,WADSWORTH CENTER,SAMN15703337,,,
SAMN27765630,WADSWORTH CENTER,SAMN15703338,,,
SAMN27765631,WADSWORTH CENTER,SAMN15703339,,,
SAMN27765632,WADSWORTH CENTER,SAMN15703340,,,
SAMN27765623,WADSWORTH CENTER,SAMN15703331,,,
SAMN27765624,WADSWORTH CENTER,SAMN15703332,,,
SAMN27765625,WADSWORTH CENTER,SAMN15703333,,,
SAMN27765626,WADSWORTH CENTER,SAMN15703334,,,
SAMN27765627,WADSWORTH CENTER,SAMN15703335,,,
SAMN27764446,WADSWORTH CENTER,SAMN15703288,,,
SAMN27764447,WADSWORTH CENTER,SAMN15703289,,,
SAMN27764448,WADSWORTH CENTER,SAMN15703290,,,
SAMN27765613,WADSWORTH CENTER,SAMN15703321,,,
